Trade_Date,Ticker,High,Low,Open,Close,Volume,Adj_Close
2020-01-02,aapl,75.1500015258789,73.79750061035156,74.05999755859375,75.0875015258789,135480400.0,74.20746612548828
2020-01-03,aapl,75.1449966430664,74.125,74.2874984741211,74.35749816894531,146322800.0,73.48602294921875
2020-01-06,aapl,74.98999786376953,73.1875,73.44750213623047,74.94999694824219,118387200.0,74.07157897949219
2020-01-07,aapl,75.2249984741211,74.37000274658203,74.95999908447266,74.59750366210938,108872000.0,73.72321319580078
2020-01-08,aapl,76.11000061035156,74.29000091552734,74.29000091552734,75.79750061035156,132079200.0,74.90914916992188
2020-01-09,aapl,77.60749816894531,76.55000305175781,76.80999755859375,77.40750122070312,170108400.0,76.50027465820312
2020-01-10,aapl,78.1675033569336,77.0625,77.6500015258789,77.5824966430664,140644800.0,76.67322540283203
2020-01-13,aapl,79.26750183105469,77.7874984741211,77.91000366210938,79.23999786376953,121532000.0,78.31129455566406
2020-01-14,aapl,79.39250183105469,78.0425033569336,79.17500305175781,78.16999816894531,161954400.0,77.25383758544922
2020-01-15,aapl,78.875,77.38749694824219,77.9625015258789,77.83499908447266,121923600.0,76.92277526855469
2020-01-16,aapl,78.92500305175781,78.02249908447266,78.39749908447266,78.80999755859375,108829200.0,77.88633728027344
2020-01-17,aapl,79.68499755859375,78.75,79.06749725341797,79.68250274658203,137816400.0,78.74861907958984
2020-01-21,aapl,79.75499725341797,79.0,79.29750061035156,79.14250183105469,110843200.0,78.21495056152344
2020-01-22,aapl,79.99749755859375,79.32749938964844,79.6449966430664,79.42500305175781,101832400.0,78.494140625
2020-01-23,aapl,79.88999938964844,78.9124984741211,79.4800033569336,79.80750274658203,104472000.0,78.87215423583984
2020-01-24,aapl,80.8324966430664,79.37999725341797,80.0625,79.57749938964844,146537600.0,78.64485168457031
2020-01-27,aapl,77.94249725341797,76.22000122070312,77.51499938964844,77.23750305175781,161940000.0,76.332275390625
2020-01-28,aapl,79.5999984741211,78.04750061035156,78.1500015258789,79.42250061035156,162234000.0,78.49166870117188
2020-01-29,aapl,81.9625015258789,80.34500122070312,81.11250305175781,81.08499908447266,216229200.0,80.13467407226562
2020-01-30,aapl,81.02249908447266,79.6875,80.13500213623047,80.96749877929688,126743200.0,80.0185546875
2020-01-31,aapl,80.66999816894531,77.07250213623047,80.23249816894531,77.37750244140625,199588400.0,76.47063446044922
2020-02-03,aapl,78.37249755859375,75.55500030517578,76.07499694824219,77.16500091552734,173788400.0,76.26062774658203
2020-02-04,aapl,79.91000366210938,78.40750122070312,78.82749938964844,79.7125015258789,136616400.0,78.77826690673828
2020-02-05,aapl,81.19000244140625,79.73750305175781,80.87999725341797,80.36250305175781,118826800.0,79.42064666748047
2020-02-06,aapl,81.30500030517578,80.06500244140625,80.64250183105469,81.30249786376953,105425600.0,80.3496322631836
2020-02-07,aapl,80.8499984741211,79.5,80.59249877929688,80.00749969482422,117684000.0,79.2574691772461
2020-02-10,aapl,80.38749694824219,78.4625015258789,78.54499816894531,80.38749694824219,109348800.0,79.63390350341797
2020-02-11,aapl,80.9749984741211,79.67749786376953,80.9000015258789,79.90249633789062,94323200.0,79.1534423828125
